field_type,date,impressions,clicks,cost_micros
Call,2022-02-11,63,2,139000000
Call,2022-02-12,63,4,242000000
Call,2022-02-14,95,7,301000000
Call,2022-02-15,93,5,326000000
Call,2022-02-16,404,8,196000000
Call,2022-02-17,443,13,460000000
Call,2022-02-18,454,10,274000000
Call,2022-02-19,467,7,177000000
Call,2022-02-20,355,7,171000000
Call,2022-02-21,589,7,285000000
Call,2022-02-22,589,8,215000000
Call,2022-02-23,430,11,311000000
Call,2022-02-24,492,11,301000000
Call,2022-02-25,451,23,469000000
Call,2022-02-26,340,11,227000000
Call,2022-02-27,274,6,139000000
Call,2022-02-28,541,14,178000000
Call,2022-03-01,511,14,246000000
Call,2022-03-02,408,14,229000000
Call,2022-03-03,479,5,175000000
Call,2022-03-04,507,14,377000000
Call,2022-03-05,412,7,313000000
Call,2022-03-06,255,6,176000000
Call,2022-03-07,607,17,413000000
Call,2022-03-08,472,17,560000000
Call,2022-03-09,718,11,566000000
Call,2022-03-10,723,21,602000000
Call,2022-03-11,673,26,1008000000
Call,2022-03-12,560,25,1118000000
Call,2022-03-13,554,26,691000000
Call,2022-03-14,874,32,1341000000
Call,2022-03-15,631,22,1194000000
Call,2022-03-16,894,22,786000000
Call,2022-03-17,684,32,1163000000
Call,2022-03-18,623,17,749000000
Call,2022-03-19,498,15,741000000
Call,2022-03-20,444,18,584000000
Call,2022-03-21,857,21,761000000
Call,2022-03-22,639,17,954000000
Call,2022-03-23,842,20,864000000
Call,2022-03-24,829,19,1022000000
Call,2022-03-25,878,16,615000000
Call,2022-03-26,639,20,572000000
Call,2022-03-27,498,8,351000000
Call,2022-03-28,802,27,1129000000
Call,2022-03-29,598,31,900480000
Call,2022-03-30,1639,150,891720000
Call,2022-03-31,1365,105,533860000
Call,2022-04-01,1627,110,909840000
Call,2022-04-02,1605,109,722220000
Call,2022-04-03,1083,56,548720000
Call,2022-04-04,2473,155,1118050000
Call,2022-04-05,1611,121,1057830000
Call,2022-04-06,1637,97,1043150000
Call,2022-04-07,1549,127,1357920000
Call,2022-04-08,1655,115,1110010000
Call,2022-04-09,675,36,903800000
Callout,2022-01-01,25590,2568,37600420000
Callout,2022-01-02,32405,3204,48000310000
Callout,2022-01-03,33787,2996,57197510000
Callout,2022-01-04,35878,3236,58317570000
Callout,2022-01-05,34176,2933,51422150000
